Kabupaten;Kecamatan;Kode BPS;Kode Kemendagri;Jumlah Penduduk;Kepadatan Penduduk;Jumlah Desa;Luas Wilayah (km2/sq.km)
Kabupaten Sukabumi;CIEMAS;3202010;32.02.22;51.361;163;7;314,14
Kabupaten Sukabumi;CIRACAP;3202020;32.02.26;53.105;396;5;134,22
Kabupaten Sukabumi;WALURAN;3202021;32.02.20;28.859;287;9;100,64
Kabupaten Sukabumi;SURADE;3202030;32.02.24;78.801;659;6;119,59
Kabupaten Sukabumi;CIBITUNG;3202031;32.02.25;28.094;309;9;90,76
Kabupaten Sukabumi;JAMPANG KULON;3202040;32.02.21;46.133;662;6;69,66
Kabupaten Sukabumi;CIMANGGU;3202041;32.02.46;24.814;170;8;146,16
Kabupaten Sukabumi;KALI BUNDER;3202050;32.02.23;28.752;335;12;85,78
Kabupaten Sukabumi;TEGAL BULEUD;3202060;32.02.45;34.520;135;6;255,52
Kabupaten Sukabumi;CIDOLOG;3202070;32.02.43;16.248;166;8;97,72
Kabupaten Sukabumi;SAGARANTEN;3202080;32.02.41;50.984;437;5;116,65
Kabupaten Sukabumi;CIDADAP;3202081;32.02.44;18.340;219;9;83,82
Kabupaten Sukabumi;CURUGKEMBAR;3202082;32.02.42;29.044;468;9;62,03
Kabupaten Sukabumi;PALABUHANRATU;3202090;32.02.37;110.854;347;10;115,81
Kabupaten Sukabumi;PABUARAN;3202100;32.02.07;40.620;287;12;141,36
Kabupaten Sukabumi;LENGKONG;3202110;32.02.01;31.924;957;6;91,86
Kabupaten Sukabumi;SIMPENAN;3202111;32.02.02;54.533;319;8;170,69
Kabupaten Sukabumi;WARUNG KIARA;3202120;32.02.09;60.949;680;5;89,66
Kabupaten Sukabumi;BANTARGADUNG;3202121;32.02.04;37.820;499;13;75,85
Kabupaten Sukabumi;JAMPANG TENGAH;3202130;32.02.08;67.684;331;13;204,21
Kabupaten Sukabumi;PURABAYA;3202131;32.02.38;42.421;410;7;103,37
Kabupaten Sukabumi;CIKEMBAR;3202140;32.02.10;86.443;1058;7;81,68
Kabupaten Sukabumi;NYALINDUNG;3202150;32.02.39;50.319;466;7;107,92
Kabupaten Sukabumi;GEGER BITUNG;3202160;32.02.40;40.448;586;10;68,97
Kabupaten Sukabumi;SUKARAJA;3202170;32.02.33;87.403;2075;11;42,13
Kabupaten Sukabumi;KEBONPEDES;3202171;32.02.34;31.982;2815;6;11,36
Kabupaten Sukabumi;CIREUNGHAS;3202172;32.02.35;34.925;1182;9;29,56
Kabupaten Sukabumi;SUKALARANG;3202173;32.02.36;46.594;1517;7;30,72
Kabupaten Sukabumi;SUKABUMI;3202180;32.02.32;49.473;1631;7;30,34
Kabupaten Sukabumi;KADUDAMPIT;3202190;32.02.30;56.229;808;5;69,62
Kabupaten Sukabumi;CISAAT;3202200;32.02.29;125.085;5417;5;23,09
Kabupaten Sukabumi;GUNUNGGURUH;3202201;32.02.27;54.589;2075;10;26,31
Kabupaten Sukabumi;CIBADAK;3202210;32.02.11;118.284;1847;10;64,03
Kabupaten Sukabumi;CICANTAYAN;3202211;32.02.28;58.022;1620;7;35,81
Kabupaten Sukabumi;CARINGIN;3202212;32.02.31;48.102;1304;9;36,89
Kabupaten Sukabumi;NAGRAK;3202220;32.02.12;86.258;1249;6;69,04
Kabupaten Sukabumi;CIAMBAR;3202221;32.02.47;40.021;652;8;61,34
Kabupaten Sukabumi;CICURUG;3202230;32.02.16;131.359;2819;7;46,59
Kabupaten Sukabumi;CIDAHU;3202240;32.02.17;67.687;1957;12;34,58
Kabupaten Sukabumi;PARAKAN SALAK;3202250;32.02.15;43.950;1154;7;38,08
Kabupaten Sukabumi;PARUNG KUDA;3202260;32.02.13;73.717;2850;6;25,87
Kabupaten Sukabumi;BOJONG GENTENG;3202261;32.02.14;37.695;2177;6;17,32
Kabupaten Sukabumi;KALAPA NUNGGAL;3202270;32.02.18;49.699;1012;9;49,09
Kabupaten Sukabumi;CIKIDANG;3202280;32.02.06;65.840;423;11;155,59
Kabupaten Sukabumi;CISOLOK;3202290;32.02.05;69.362;400;8;173,49
Kabupaten Sukabumi;CIKAKAK;3202291;32.02.03;41.624;366;6;113,61
Kabupaten Sukabumi;KABANDUNGAN;3202300;32.02.19;40.920;299;12;136,77
