"ID_KAB","KAB","LAT","LONG","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11"
1208,"Asahan",2.846891538,99.53304576,8.64,2,671,1119177,230176,8.82,71.13,6.26,11515,65.68,68.73,51781
1219,"Batu Bara",3.229671118,99.48000846,11.53,18.4,372,1109844,246179,8.26,69.51,6.21,10755,73.5,67.55,28259
1210,"Dairi",2.835384095,98.25439598,7.88,12.4,247,1023193,125512,9.72,72.56,0.88,10740,85.01,69.64,11613
1212,"Deli Serdang",3.479872059,98.70710239,3.62,1.4,702,1207845,306494,10.27,76.19,8.79,12657,66.84,72.07,124336
1215,"Humbang Hasundutan",2.238298324,98.6071292,8.86,16.4,265,993122,110126,10,70.32,0.42,8250,85.83,70.02,8351
1211,"Karo",3.099625651,98.24972607,8.17,16.8,468,1328079,75705,10.02,75.36,2.71,12554,85.11,72.03,22084
1276,"Kota Binjai",3.600217556,98.48872309,5.1,0.9,225,1221962,76342,11.18,76.95,6.36,11358,58.61,72.79,20470
1278,"Kota Gunungsitoli",1.252034722,97.58045131,14.81,3.4,119,858826,73109,8.64,70.23,3.65,8434,66.11,71.71,5611
1275,"Kota Medan",3.642366903,98.66949371,8.07,0.5,821,1851065,259011,11.5,81.76,8.89,15503,62.23,73.58,95342
1277,"Kota Padangsidimpuan",1.38685541,99.28581385,6.89,15.8,199,1192550,57641,11.11,76.05,7.76,11337,64.41,69.84,13733
1273,"Kota Pematang Siantar",2.954586129,99.06349379,7.88,1.6,380,1304827,90166,11.31,79.7,9.36,12744,65.27,74.25,11681
1271,"Kota Sibolga",1.730832272,98.7840603,11.47,5.1,224,1355934,33951,10.43,74.74,7.05,12135,65.85,69.77,5724
1272,"Kota Tanjung Balai",2.972788337,99.79539972,12.45,1.3,264,1212640,102400,9.55,69.86,4.62,11589,70.77,63.87,12236
1274,"Kota Tebing Tinggi",3.32806684,99.15412644,9.59,2.5,231,1247833,68059,10.65,76.17,6.39,13144,77.26,71.29,10895
1207,"Labuhan Batu",2.270234263,100.0132303,8.26,0.7,400,1080056,157992,9.4,72.92,6.9,11474,63.51,70.37,28507
1222,"Labuhan Batu Selatan",1.833774694,100.0604973,8.09,1.9,186,1130765,40016,8.92,72.16,3.15,11751,66.76,69.16,18140
1223,"Labuhan Batu Utara",2.42556931,99.73422854,9.09,2.1,293,1157202,126001,8.64,72.77,3.75,12258,65.31,69.91,22808
1213,"Langkat",3.760212231,98.23257395,9.49,15.3,641,1073134,271188,8.68,71.86,6.88,11439,71.51,69.39,75325
1202,"Mandailing Natal",0.779604872,99.39062584,8.92,4.6,528,986053,102181,8.76,68.05,7.64,10061,71.15,63.05,23295
1201,"Nias",1.084309412,97.7301026,16,16,136,756507,86862,5.88,63.69,2.81,7196,84.5,70.06,6307
1225,"Nias Barat",0.982316635,97.4579684,24.75,11.6,93,616939,68765,6.97,62.93,0.53,6152,84.63,69.43,3324
1214,"Nias Selatan",0.197995312,98.23361465,16.48,12.6,132,666410,141292,6.23,63.17,3.69,7195,78.54,69.21,8540
1224,"Nias Utara",1.310157036,97.29016824,23.4,3,78,710926,93720,6.78,63.75,2.59,6575,77.75,69.9,6718
1221,"Padang Lawas",1.156542242,99.80147545,8.05,5.5,381,1115276,76571,9.31,69.58,5.9,9207,75.1,67.43,18064
1220,"Padang Lawas Utara",1.636409269,99.84554289,8.94,10.7,182,1140732,49007,9.46,70.93,4.31,10447,70.33,67.53,15631
1216,"Pakpak Bharat",2.530277854,98.26852589,8.66,20.1,86,1124641,12480,9.39,68.85,0.26,8558,86.2,66.44,2858
1217,"Samosir",2.55513449,98.69677777,11.77,13.6,159,1243086,76867,9.46,71.67,1.16,8991,83.57,71.82,5664
1218,"Serdang Bedagai",3.349220352,99.03144271,7.82,3.4,374,1050164,256512,8.71,71.21,4.98,11499,67.59,69.21,50991
1209,"Simalungun",2.95061252,99.04925479,8.26,2.1,515,1079047,212965,9.63,73.77,5.51,11524,69.91,71.78,52586
1203,"Tapanuli Selatan",1.551068315,99.17802047,8.07,0.9,271,985014,107299,9.34,70.92,3.65,11727,74.53,65.28,19486
1204,"Tapanuli Tengah",1.867809653,98.59615994,11.71,6.8,367,910016,189131,8.86,70.31,7.97,10495,76.51,67.58,17138
1205,"Tapanuli Utara",2.01124917,99.06877958,8.93,6.3,504,980647,159410,10,74.14,1.07,11892,81.07,69.16,13954
1206,"Toba Samosir",2.385582493,99.24665091,8.89,6.5,458,1314085,90144,10.58,75.96,1.39,12475,79.04,70.76,8645
